,Branch length stretch,date,numdate
A_Alaska_240_2015_EPIISL226836_2015-09-15,0.48452204996241766,2015-09-15,2015.8139368565471
A_Alba-Iulia_256557_2020_EPIISL409938_2020-01-20,1.1887698296250973,2020-01-20,2020.1061322664066
A_Albania_290633_2023_EPIISL17223857_2023-01-06_HA_4,1.0313453386714224,2023-01-06,2023.029527440098
A_Albania_616_2021_EPIISL12219341_2021-12-19,2.0,2021-12-19,2021.9931308150824
A_Albania_8083_2021_EPIISL12219466_2021-12-09,1.0000004296577498e-06,2021-12-09,2021.9661061316247
A_Albania_8322_2021_EPIISL12219460_2021-12-10,2.0,2021-12-10,2021.9688085996322
A_Albania_863_2021_EPIISL12219333_2021-12-21,1.4521635808902442,2021-12-21,2021.9985357518492
A_Albania_8975_2021_EPIISL12219444_2021-12-13,1.0000004296576653e-06,2021-12-13,2021.9769160051583
A_Albania_9695_2021_EPIISL12219436_2021-12-16,0.979530423673461,2021-12-16,2021.9850234099322
A_Albania_9980_2021_EPIISL12219425_2021-12-16,2.0,2021-12-16,2021.9850234099322
A_Alberta_001_2020_EPIISL411552_2020-01-07,2.0,2020-01-07,2020.071000177423
A_Alberta_111_2019_EPIISL411550_2019-12-19,0.9691194656183345,2019-12-19,2020.0189776610434
A_Alberta_113_2019_EPIISL411515_2019-12-30,0.9981540974262306,2019-12-30,2020.0487048132602
A_Andalucia_1514_2022_EPIISL12646176_2022-03-10,0.998152598507029,2022-03-10,2022.2127063712298
A_Andalucia_230459_2022_EPIISL17094857_2022-12-07_HA_4,1.0023093287240699,2022-12-07,2022.9477777715017
A_Andalucia_230467_2022_EPIISL17094967_2022-12-14_HA_4,9.99999995976882e-07,2022-12-14,2022.966695050561
A_Andalucia_230470_2022_EPIISL17095009_2022-12-14_HA_4,0.8616931280030272,2022-12-14,2022.966695050185
A_Anhui-Jinghu_346_2019_EPIISL410592_2019-12-03,1.4833489653964447,2019-12-03,2019.9757381669099
A_Antananarivo_1067_2016_EPIISL300261_2016-04-05,2.0,2016-04-05,2016.3632135554635
A_Arizona_08_2020_EPIISL416765_2020-02-17,2.0,2020-02-17,2020.1818013811405
A_Arizona_11850_2020_EPIISL435173_2020-02-04,0.7124083575111136,2020-02-04,2020.1466692921567
